"","ID","Labels","dist2labeled #1","dist2labeled #2","nearest2labeled #1","nearest2labeled #2","dist2unlabeled #1","dist2unlabeled #2","nearest2unlabeled #1","nearest2unlabeled #2","K-NN dist2labeled ","K-NN dist2unlabeled ","cluster","clusterQuality","#AAD days","#ActivityName","#Token days","#SharedAADVol","#SharedTokenVol"
"1651","021606d5-976f-488b-ab32-e3ac693b034f",TRUE,"0.00828129873561795","0.0407599278886943","3fb27ab7-12de-4230-ad01-1e35a13f9bd6","db279bc9-e028-4ecf-b495-096a3ec8c12e","0.00340930188977264","0.00726459749060881","b30607ba-13a4-45b1-a041-362d9b9957c8","a525949e-1362-4a73-ac1d-e62375cfeebf","0.068","0.035",1,0.329400196656834,0,1,8,0,5
"1652","07c7fa51-b285-4a25-85f9-8c97fb8f3c15",TRUE,"0.00828926491410662","0.015756009997391","e4e5c077-fd33-40f1-bd95-d37a76b995ed","d794c622-14fe-4c4c-9afe-b91ef81ca280","0.00141467914285118","0.00154559506505663","24c9def5-a88a-4f72-9eb0-5368bcdb3aa3","1ab82300-6e41-40f1-af32-bf8cc5cf4f4a","0.027","0.002",1,0.329400196656834,0,1,2,0,65
"1653","0928ab60-40cd-4c13-864c-8a3fb8efe7fd",TRUE,"2.73080479655534","2.83367001845408","3d2d2b6f-061a-48b6-b4b3-9312d687e3a1","bdccd48c-e6ed-4ad1-8ad0-499da31951d0","1.17035666263118","1.43418133466958","774e4de4-4442-4fb3-b59f-c6a5a04defd2","5037c017-cef1-490d-9b61-b5734aadc3b2","2.927","2.552",2,0.468859342197341,0,4,84,0,111500
"1654","0f6fa86e-6c99-49d8-983f-5baabe3562a0",TRUE,"0.0250713104510793","0.0251945213622506","741f1473-6d64-4d1c-bc73-2fcb2168fab8","45c99e95-a602-4b84-9dae-173644e691a9","0.00828484587942643","0.0251044836964125","3ab41084-2747-48dc-9ebc-4a77af8aaf90","fa464d76-932d-4c1c-9f08-f69cc8030d12","0.12","0.029",3,0.477434679334917,0,3,3,0,12
"1655","100fdbcd-a2bf-4ee8-ac84-25d2c5f426d2",TRUE,"0.0267226832037436","0.0403228029141867","e93e0723-b357-44cf-bf5a-7409db2add1a","2d13ca8d-9f4c-4bf7-9351-785453e02f7a","0.00929910380487229","0.0251084649796433","9ee4c943-e071-46fa-8b9c-d1be9343f681","b685ec24-fb1d-4d5f-94f2-f0a9d1051ce0","0.095","0.056",3,0.477434679334917,0,3,9,0,25
"1656","117eb751-6bb0-41fc-8762-cc037e7b086e",TRUE,"0.0509268792633934","0.0709149369108356","44cc9a52-4d4b-4434-b4f2-9642a5ce50c0","feeeef85-6aa2-4f07-aac4-4691252f7ff4","0.063107470076789","0.068004173036666","d0df218c-d18b-4f44-8a8a-1646de74723f","52eb0ef9-6d4d-48ed-acb2-4a3692bdd68e","0.184","0.127",4,0.582608695652174,0,2,40,0,412
"1657","12cd0fec-88f7-4eb6-993a-22d9715de644",TRUE,"0.100502911714868","0.125925952632017","4071937a-885d-4947-a13f-ecb74f46c951","8ac8c880-b237-4c0a-880d-fd41b2636c6a","0.0771832098824197","0.0801634375433751","f87caad5-992f-40db-a287-010dc58fa60b","c05011ba-be31-4e28-82a2-af162e573231","0.236","0.121",4,0.582608695652174,0,1,51,0,191
"1658","1fbd70ca-9f9a-434b-8d89-9ddbc9291edd",TRUE,"0.00250242095264031","0.0250701666958096","55ed1779-20d6-4546-916f-5d3f83d6488b","fb51e7f8-24d7-40dd-b53b-0129ebaf951e","0.0252143530893483","0.0253815163704797","797fb907-7082-48ff-9a10-de25c8c6348c","e5434327-94f7-41d6-81db-f06935087867","0.102","0.041",1,0.329400196656834,0,1,14,0,56
"1659","2ae33707-351c-45de-8289-65c1298f1e48",TRUE,"0.00360467714997229","0.0268089100281875","5764643a-7a01-480d-8f97-a0e4bef28989","d133d45f-bab2-46a1-a75f-8de7c4e5dee2","0.0253501391303071","0.0503171517758956","336289e6-7416-4aeb-a6d4-9baea976ab5a","54133dea-6829-415e-b414-5456f35eb77c","0.125","0.083",3,0.477434679334917,0,2,10,0,94
"1660","2d33e0e4-4685-4131-ac80-1bf1c29b9ea6",TRUE,"0.0251125134192091","0.0415650968541156","6220ba14-1850-4fea-9ccd-32acded1d48e","53e1d21b-a958-4352-8e1a-7ab49137d66a","0.0667256532493913","0.0982111281278928","d0df218c-d18b-4f44-8a8a-1646de74723f","52eb0ef9-6d4d-48ed-acb2-4a3692bdd68e","0.195","0.179",4,0.582608695652174,0,2,44,0,197
"1662","4071937a-885d-4947-a13f-ecb74f46c951",TRUE,"0.028986511959167","0.0544515451227922","8ac8c880-b237-4c0a-880d-fd41b2636c6a","a33b8365-8e6d-4d90-a5d4-27ccd5e29575","0.0318989657203674","0.0373559993676389","f87caad5-992f-40db-a287-010dc58fa60b","3a615100-2405-459e-9c81-45d1ad4e5e26","0.194","0.086",4,0.582608695652174,0,1,47,0,30
"1663","45c99e95-a602-4b84-9dae-173644e691a9",TRUE,"0.00265524299180439","0.00794592286693468","741f1473-6d64-4d1c-bc73-2fcb2168fab8","3ec8ad28-a941-42e1-9b7d-debd6aa6c87d","0.00367898442003914","0.00621345101907553","fa464d76-932d-4c1c-9f08-f69cc8030d12","89a3300b-9d08-47f5-95ea-e64332a3720a","0.103","0.028",3,0.477434679334917,0,3,4,0,28
"1665","46da738c-0d70-4c92-a8dc-f8a3a8d29ee4",TRUE,"0.0776937540687557","0.0900931881674821","e6236d75-a61e-4406-953e-a8a04cb66ff7","b00a53e9-3e50-4a49-bdc5-dcc689fcf301","0.156271350499598","0.175492532396112","a910ef45-2ade-45cb-a371-3cecc9867a51","1a64099f-9cf6-4579-b1f9-b47fe1bc60d3","0.261","0.338",2,0.468859342197341,0,1,90,0,1818
"1666","49700da7-f02d-4e43-b3a9-33b1f9939671",TRUE,"0.0251956312012278","0.0895977434568365","c1f0ad9d-0a5d-484e-8774-e6bb132250a1","6700b5fe-584d-4e06-854d-daa4c4c9c384","0.0255505973240746","0.0257316241354235","390ee49f-b735-49cc-84aa-67c1b410b96f","6de5354b-f23a-492c-b7cb-d04a716bcbc1","0.183","0.04",3,0.477434679334917,0,2,5,0,1
